pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id
1.1878967,31.738129,22492,76561198389634571,4,5,4_5
1.1878967,31.738129,22493,76561198389634571,4,5,4_5
1.1878967,31.738129,22494,76561198389634571,4,5,4_5
1.1878967,31.738129,22495,76561198389634571,4,5,4_5
1.1878967,31.738129,22496,76561198389634571,4,5,4_5
1.1878967,31.738129,22497,76561198389634571,4,5,4_5
1.1878967,31.738129,22498,76561198389634571,4,5,4_5
1.1878967,31.738129,22499,76561198389634571,4,5,4_5
1.1878967,31.738129,22500,76561198389634571,4,5,4_5
1.1878967,31.738129,22501,76561198389634571,4,5,4_5
1.1878967,31.738129,22502,76561198389634571,4,5,4_5
1.1878967,31.738129,22503,76561198389634571,4,5,4_5
1.1878967,31.738129,22504,76561198389634571,4,5,4_5
1.1878967,31.738129,22505,76561198389634571,4,5,4_5
1.1878967,31.738129,22506,76561198389634571,4,5,4_5
1.1878967,31.738129,22507,76561198389634571,4,5,4_5
1.1878967,31.738129,22508,76561198389634571,4,5,4_5
1.1878967,31.738129,22509,76561198389634571,4,5,4_5
1.1878967,31.738129,22510,76561198389634571,4,5,4_5
1.1878967,31.738129,22511,76561198389634571,4,5,4_5
1.1878967,31.738129,22512,76561198389634571,4,5,4_5
1.1878967,31.738129,22513,76561198389634571,4,5,4_5
1.1878967,31.738129,22514,76561198389634571,4,5,4_5
1.1878967,31.738129,22515,76561198389634571,4,5,4_5
1.1439514,31.716156,22516,76561198389634571,4,5,4_5
1.1000061,31.716156,22517,76561198389634571,4,6,4_6
1.0121155,31.716156,22518,76561198389634571,4,6,4_6
0.96817017,31.694183,22519,76561198389634571,4,6,4_6
0.8579712,31.738129,22520,76561198389634571,4,6,4_6
0.8140259,31.782074,22521,76561198389634571,4,6,4_6
0.72613525,31.892273,22522,76561198389634571,4,6,4_6
0.65986633,31.936218,22523,76561198389634571,4,6,4_6
0.615921,31.95819,22524,76561198389634571,4,6,4_6
0.5719757,31.980164,22525,76561198389634571,4,6,4_6
0.50605774,32.02411,22526,76561198389634571,4,6,4_6
0.46211243,32.04608,22527,76561198389634571,4,6,4_6
0.44013977,32.090027,22528,76561198389634571,4,6,4_6
0.3958435,32.112,22529,76561198389634571,4,6,4_6
0.37387085,32.17827,22530,76561198389634571,4,6,4_6
0.37387085,32.17827,22531,76561198389634571,4,6,4_6
0.37387085,32.17827,22532,76561198389634571,4,6,4_6
0.37387085,32.17827,22533,76561198389634571,4,6,4_6
0.37387085,32.17827,22534,76561198389634571,4,6,4_6
0.37387085,32.17827,22535,76561198389634571,4,6,4_6
0.37387085,32.17827,22536,76561198389634571,4,6,4_6
0.37387085,32.17827,22537,76561198389634571,4,6,4_6
0.37387085,32.244186,22538,76561198389634571,4,6,4_6
0.44013977,32.419968,22539,76561198389634571,4,6,4_6
0.83599854,33.71808,22540,76561198389634571,4,6,4_6
1.1439514,35.104065,22541,76561198389634571,4,6,4_6
2.3761292,41.8143,22542,76561198389634571,4,6,4_6
3.937912,53.166275,22543,76561198389634571,4,6,4_6
4.553833,59.39209,22544,76561198389634571,4,6,4_6
6.0060883,78.0043,22545,76561198389634571,4,6,4_6
6.6879272,96.088135,22546,76561198389634571,4,6,4_6
6.6220093,105.21814,22547,76561198389634571,4,6,4_6
4.972,131.94821,22548,76561198389634571,4,6,4_6
3.4098816,146.09412,22549,76561198389634571,4,7,4_7
1.4299316,161.27414,22550,76561198389634571,4,7,4_7
0.3958435,168.88596,22551,76561198389634571,4,7,4_7
-0.06591797,172.31815,22552,76561198389634571,4,7,4_7
-0.06591797,172.31815,22553,76561198389634571,4,7,4_7
-0.06591797,172.31815,22554,76561198389634571,4,7,4_7
-0.06591797,172.31815,22555,76561198389634571,4,7,4_7
-0.06591797,172.31815,22556,76561198389634571,4,7,4_7
-0.06591797,172.31815,22557,76561198389634571,4,7,4_7
-0.06591797,172.31815,22558,76561198389634571,4,7,4_7
-0.06591797,172.31815,22559,76561198389634571,4,7,4_7
-0.06591797,172.31815,22560,76561198389634571,4,7,4_7
-0.06591797,172.31815,22561,76561198389634571,4,7,4_7
-0.06591797,172.31815,22562,76561198389634571,4,7,4_7
-0.06591797,172.31815,22563,76561198389634571,4,7,4_7
